scheme,individual,contrast_id,description,terms_json,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
loco,ORT16,nu_rescale12_minus_raw,nu rescale12 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-1.98462252471,-1.98457106921,-1.98570309019,0.03774075666,2.07961384473,-2.06418929025,-1.90721689013,yes
loco,ORT16,nu_bamrefine5_minus_raw,nu bamrefine5 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.388704167205,-0.388694124911,-0.388915055397,0.0221606542524,2.07961384473,-0.435000658788,-0.342829452005,yes
loco,ORT16,nu_bamrefine10_minus_raw,nu bamrefine10 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:bamrefine10"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.527535996264,-0.527519773376,-0.527876676913,0.0304544912082,2.07961384473,-0.591210258463,-0.464543095362,yes
loco,ORT16,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT,"[{""state"":""ORT16:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT16:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,22,0.679345858945,0.679332728757,0.679621592894,0.0213149937635,2.07961384473,0.635294636764,0.723948549025,yes
loco,ORT16,rescale5_shift_nu_minus_fu,Difference in rescale5 shift: non-UDG minus full-UDG,"[{""state"":""ORT16:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale5"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,22,0.0137585625199,0.0137764869282,0.0133821499471,0.0176477248017,2.07961384473,-0.0233183028785,0.0500826027727,no
loco,ORT16,rescale12_shift_nu_minus_fu,Difference in rescale12 shift: non-UDG minus full-UDG,"[{""state"":""ORT16:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,22,-0.0151509659754,-0.0151218585984,-0.0157622208912,0.0219282855081,2.07961384473,-0.0613645870251,0.0298401452427,no
5mb,ORT15,raw_nu_minus_raw_fu,Uncorrected non-UDG minus uncorrected full-UDG DeltaALT,"[{""state"":""ORT15:nu:raw"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,0.381700786159,0.3817008377,0.381671098333,0.0547179090741,1.96409103161,0.274200143852,0.489142052814,yes
5mb,ORT15,fu_trim5_minus_raw,fu trim5 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:trim5"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.557271293745,-0.557271218183,-0.557314817153,0.0113181413124,1.96409103161,-0.579544676999,-0.535084957306,yes
5mb,ORT15,fu_rescale5_minus_raw,fu rescale5 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,-1.22780905739,-1.22780899776,-1.22784340168,0.00858339481645,1.96409103161,-1.24470197046,-1.2109848329,yes
5mb,ORT15,fu_rescale12_minus_raw,fu rescale12 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,-2.19960435391,-2.19960432345,-2.19962189833,0.0136042557378,1.96409103161,-2.22634189501,-2.17290190164,yes
5mb,ORT15,fu_bamrefine5_minus_raw,fu bamrefine5 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.53181461849,-0.531814542898,-0.531858159771,0.00834651388425,1.96409103161,-0.548251472836,-0.515464846705,yes
5mb,ORT15,nu_trim5_minus_raw,nu trim5 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:trim5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.439344136231,-0.439344173471,-0.439322686227,0.0395670874128,1.96409103161,-0.517036047762,-0.361609324693,yes
5mb,ORT15,nu_trim10_minus_raw,nu trim10 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:trim10"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.593655000574,-0.593655041591,-0.593631374901,0.0590496296038,1.96409103161,-0.709610222826,-0.477652526976,yes
5mb,ORT15,nu_rescale5_minus_raw,nu rescale5 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-1.10723304631,-1.10723304328,-1.10723479339,0.0224932956968,1.96409103161,-1.15141367374,-1.06305591304,yes
5mb,ORT15,nu_rescale10_minus_raw,nu rescale10 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:rescale10"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-1.86406993011,-1.86406994986,-1.86405854969,0.0299873266107,1.96409103161,-1.92295638895,-1.80516071044,yes
5mb,ORT15,nu_rescale12_minus_raw,nu rescale12 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-2.09629304316,-2.09629307417,-2.09627518409,0.0326914578821,1.96409103161,-2.16048418332,-2.03206618485,yes
5mb,ORT15,nu_bamrefine5_minus_raw,nu bamrefine5 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.442201830451,-0.442201837023,-0.442198044511,0.0279103428605,1.96409103161,-0.497016498612,-0.387379590409,yes
5mb,ORT15,nu_bamrefine10_minus_raw,nu bamrefine10 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:bamrefine10"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.583764465855,-0.583764498443,-0.583745695703,0.036677092599,1.96409103161,-0.655782844343,-0.511708547064,yes
