scheme,individual,comparison_id,library,treatment,damage_alt_fraction_sum,damage_n_common_dp3,transversion_alt_fraction_sum,transversion_n_common_dp3,common_target_sites,damage_alt_pct,transversion_alt_pct,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
10mb,ORT16,rescale5_shift_nu_minus_fu,nu,raw,1831.50136054,76166,1977.81067323,61761,137927,2.40461801925,3.20236180314,percentage_points,289,-0.797743783883,-0.797743160415,-0.797923342647,0.0791154701838,1.96823517361,-0.95364119384,-0.642205491454,yes
10mb,ORT16,rescale5_shift_nu_minus_fu,nu,rescale5,1752.11802721,76166,1955.15114943,61761,137927,2.30039391226,3.16567275372,percentage_points,289,-0.865278841462,-0.865278194896,-0.865465052369,0.0788199686983,1.96823517361,-1.02060128714,-0.710328817593,yes
10mb,ORT16,rescale5_shift_nu_minus_fu,fu,raw,1501.6849775,76166,1806.54208328,61761,137927,1.97159490784,2.92505316184,percentage_points,289,-0.953458254005,-0.953457920432,-0.953554322829,0.0767153754234,1.96823517361,-1.10454822309,-0.802560422564,yes
10mb,ORT16,rescale5_shift_nu_minus_fu,fu,rescale5,1350.8191578,76166,1796.46589281,61761,137927,1.77351988788,2.90873835075,percentage_points,289,-1.13521846288,-1.13521805382,-1.13533627042,0.0760315828292,1.96823517361,-1.28498430605,-0.985688234791,yes
loco,ORT16,rescale12_shift_nu_minus_fu,nu,raw,1003.21802721,74556,1907.5273399,61541,136097,1.34558992866,3.09960406867,percentage_points,22,-1.75401414001,-1.75394726625,-1.75541848899,0.0834739322598,2.07961384473,-1.9290120342,-1.58182494379,yes
loco,ORT16,rescale12_shift_nu_minus_fu,nu,rescale12,893.535714286,74556,1872.95114943,61541,136097,1.19847592989,3.04342007674,percentage_points,22,-1.84494414685,-1.84488379032,-1.84621163395,0.0851533745312,2.07961384473,-2.02329777055,-1.66912549735,yes
loco,ORT16,rescale12_shift_nu_minus_fu,fu,raw,777.423866392,74556,1796.64208328,61541,136097,1.04273816513,2.91942295914,percentage_points,22,-1.87668479401,-1.87663338416,-1.87776440103,0.0738880829301,2.07961384473,-2.03142308126,-1.72410572081,yes
loco,ORT16,rescale12_shift_nu_minus_fu,fu,rescale12,575.02019647,74556,1779.15017795,61541,136097,0.771259451245,2.89099978542,percentage_points,22,-2.11974033418,-2.11970662949,-2.12044813261,0.0698193885376,2.07961384473,-2.26564549965,-1.97525076558,yes
5mb,ORT16,rescale12_shift_nu_minus_fu,nu,raw,1003.21802721,74556,1907.5273399,61541,136097,1.34558992866,3.09960406867,percentage_points,577,-1.75401414001,-1.75401392987,-1.75413518237,0.0721383135686,1.96409103161,-1.89582139708,-1.61244896765,yes
5mb,ORT16,rescale12_shift_nu_minus_fu,nu,rescale12,893.535714286,74556,1872.95114943,61541,136097,1.19847592989,3.04342007674,percentage_points,577,-1.84494414685,-1.8449439424,-1.84506190958,0.0719968151289,1.96409103161,-1.98647020848,-1.70365361068,yes
5mb,ORT16,rescale12_shift_nu_minus_fu,fu,raw,777.423866392,74556,1796.64208328,61541,136097,1.04273816513,2.91942295914,percentage_points,577,-1.87668479401,-1.87668469226,-1.87674340235,0.0714170000951,1.96409103161,-2.01701289175,-1.73647391296,yes
5mb,ORT16,rescale12_shift_nu_minus_fu,fu,rescale12,575.02019647,74556,1779.15017795,61541,136097,0.771259451245,2.89099978542,percentage_points,577,-2.11974033418,-2.11974020179,-2.11981659149,0.0700749170544,1.96409103161,-2.25745010762,-1.98218307537,yes
10mb,ORT16,rescale12_shift_nu_minus_fu,nu,raw,1003.21802721,74556,1907.5273399,61541,136097,1.34558992866,3.09960406867,percentage_points,289,-1.75401414001,-1.75401350832,-1.75419606737,0.0738979969985,1.96823517361,-1.89964470432,-1.60874743042,yes
10mb,ORT16,rescale12_shift_nu_minus_fu,nu,rescale12,893.535714286,74556,1872.95114943,61541,136097,1.19847592989,3.04342007674,percentage_points,289,-1.84494414685,-1.84494350959,-1.8451276772,0.0734961527845,1.96823517361,-1.98978539023,-1.70046996416,yes
10mb,ORT16,rescale12_shift_nu_minus_fu,fu,raw,777.423866392,74556,1796.64208328,61541,136097,1.04273816513,2.91942295914,percentage_points,289,-1.87668479401,-1.87668435419,-1.87681146248,0.0732579914063,1.96823517361,-2.02100041792,-1.73262250705,yes
10mb,ORT16,rescale12_shift_nu_minus_fu,fu,rescale12,575.02019647,74556,1779.15017795,61541,136097,0.771259451245,2.89099978542,percentage_points,289,-2.11974033418,-2.11973979344,-2.1198960664,0.0717442349951,1.96823517361,-2.26110559322,-1.97868653957,yes
