scheme,individual,library,treatment,damage_alt_fraction_sum,damage_n_dp3,transversion_alt_fraction_sum,transversion_n_dp3,covered_sites,damage_alt_pct,transversion_alt_pct,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
loco,ORT15,nu,raw,8548.7202381,197441,5539.55039683,159358,14380094,4.32975939045,3.47616711858,percentage_points,22,0.853592271869,0.8534196997,0.857216287415,0.0559632007676,2.07961384473,0.740834440303,0.973598134526,yes
loco,ORT15,nu,trim5,5052.44880952,137554,3565.14642857,109400,12183234,3.67306571203,3.25881757639,percentage_points,22,0.414248135638,0.414041378457,0.418590036435,0.0736366324474,2.07961384473,0.265454276118,0.571725796752,yes
loco,ORT15,nu,trim10,2996.01904762,87473,2195.62692308,69369,9916713,3.42507865012,3.16514137882,percentage_points,22,0.259937271295,0.259743162764,0.264013550433,0.0970055584618,2.07961384473,0.0622794480404,0.465747652826,yes
loco,ORT15,nu,rescale5,5615.45833333,192278,5018.14087302,158095,14273288,2.92048925687,3.17413003132,percentage_points,22,-0.253640774446,-0.253821973079,-0.249835603147,0.0603772986917,2.07961384473,-0.375397069414,-0.124274136881,yes
loco,ORT15,nu,rescale10,3835.12857143,189385,4780.0047619,157469,14214445,2.02504346777,3.035521126,percentage_points,22,-1.01047765824,-1.01062948219,-1.0072893553,0.0550473530386,2.07961384473,-1.12176659279,-0.892812117801,yes
loco,ORT15,nu,rescale12,3305.32857143,188536,4712.42142857,157298,14196082,1.75315513824,2.99585590953,percentage_points,22,-1.24270077129,-1.24283358799,-1.2399116206,0.0507349871773,2.07961384473,-1.34542080235,-1.13440243885,yes
loco,ORT15,nu,bamrefine5,5958.85833333,165486,4221.9797619,132374,13259633,3.60082323177,3.18943279036,percentage_points,22,0.411390441419,0.411202579433,0.415335543112,0.0668069464609,2.07961384473,0.276402892328,0.554268193896,yes
loco,ORT15,nu,bamrefine10,4506.73690476,136245,3328.08809524,109549,12124414,3.30781819866,3.03799039264,percentage_points,22,0.269827806014,0.269673726028,0.273063485711,0.0702568627688,2.07961384473,0.12695634121,0.419170630212,yes
loco,ORT16,nu,raw,14200.9430272,348220,9782.6773399,284323,17628662,4.07815261249,3.4406915163,percentage_points,22,0.637461096185,0.637387885813,0.638998514014,0.0574951496556,2.07961384473,0.519430804785,0.758566223242,yes
loco,ORT16,nu,trim5,8355.05420819,245859,6260.41441799,197678,15045489,3.39831131185,3.16697579801,percentage_points,22,0.231335513838,0.231242662309,0.233285395934,0.0686587683913,2.07961384473,0.0905016706255,0.376069121242,yes
