rank	nonnormalized_p0	normalized_p0	overlap_snps
193	0.252855740428424	1.0173984102134659	198635
194	0.2528640831544458	1.0174319782715888	88510
195	0.2530038449214995	1.017994328168681	24968
196	0.25305708970827867	1.0182085655885216	277388
197	0.2531075535423634	1.0184116134785324	302891
198	0.25317648140063875	1.0186889538043242	43523
199	0.253217683268047	1.0188547349502375	200144
200	0.2533482142857143	1.0193799437101148	896
201	0.2534722222222222	1.0198789059928899	576
202	0.2535225459059472	1.0200813899694496	248116
203	0.2536057692307692	1.020416249989725	832
204	0.25381758151052414	1.021268504624408	377988
205	0.25414909841212885	1.0226024065879546	11147
206	0.2541998896745399	1.0228067719290073	19941
207	0.2542928039702233	1.0231806248482813	10075
208	0.25438743807204633	1.0235613976343119	23818
209	0.2559687454782231	1.0299239964757587	6911
210	0.2562814070351759	1.031182031474053	199
211	0.2563380281690141	1.0314098540714514	15265
212	0.2575266569098892	1.036192458529042	19132
213	0.25929283771532186	1.0432989198676383	16545
214	0.2595281306715064	1.0442456520998231	551
215	0.26075301571828924	1.0491741385845659	8207
216	0.26203966005665724	1.0543511217218593	706
217	0.2624113475177305	1.0558466552278476	141
218	0.2645161290322581	1.0643155211634154	620
219	0.26520681265206814	1.0670945777731828	411
220	0.26547231270358307	1.0681628522361837	614
221	0.27419354838709675	1.103253893888906	124
222	0.28378378378378377	1.1418414704637168	74
223	0.28484848484848485	1.1461254355765678	165
224	0.2857142857142857	1.1496090995144905	126
225	0.2857142857142857	1.1496090995144905	56
226	0.3050847457627119	1.2275486994815747	59
227	0.30708661417322836	1.2356034809742358	127
228	0.3076923076923077	1.238040568707913	52
229	0.3225806451612903	1.2979457575163602	31
230	0.45454545454545453	1.8289235674094166	11
