rank	nonnormalized_p0	normalized_p0	overlap_snps
122	0.24729872796820718	1.0023457669373224	187967
123	0.24730620844392154	1.0023760866370175	365470
124	0.24732724574245968	1.0024613545529133	198765
125	0.2473276263672793	1.0024628972930636	474391
126	0.24743399599261384	1.0028940323197608	407248
127	0.24744402176295524	1.0029346685516758	205303
128	0.24745246513762426	1.002968891052243	383508
129	0.24745475253778704	1.0029781622922904	402122
130	0.24751492249927795	1.0032220418572713	332384
131	0.2475300842981711	1.0032834953271883	96562
132	0.2475810864590588	1.003490216164333	160816
133	0.24760471586787774	1.0035859903646271	184738
134	0.24762382207288075	1.0036634312146646	295222
135	0.2476446602618464	1.0037478921040186	172162
136	0.24764932298753783	1.0037667909612737	343199
137	0.2476778144756706	1.003882272034542	151689
138	0.24770730455973836	1.0040018005948979	436604
139	0.2477499525822774	1.0041746606221673	326882
140	0.24777970144070438	1.0042952380410666	195807
141	0.24781790704129786	1.0044500921413801	97269
142	0.24784059001286254	1.0045420302630041	420601
143	0.2479252734121693	1.0048852671551725	137247
144	0.24793370350335697	1.0049194358154252	502832
145	0.24804110767513776	1.0053547640430323	86018
146	0.24817665233998906	1.0059041506984383	158911
147	0.24822191330721596	1.0060876014556668	395650
148	0.2482592870225114	1.0062390837767805	129401
149	0.24833762622724675	1.0065566065189993	185578
150	0.2483390348802675	1.0065623160404515	363644
151	0.24837397176422837	1.0067039214503777	305499
152	0.24838709677419354	1.0067571194521938	175770
153	0.24841515528499974	1.0068708455912818	587597
154	0.24845188521571626	1.007019718538895	176505
155	0.24849847330805624	1.0072085483704525	149015
156	0.24851669348350763	1.007282397984992	159104
157	0.24856831831482576	1.007491642616235	429914
158	0.24857001511939555	1.0074985200672104	503327
159	0.24861003639698506	1.0076607334296035	139572
160	0.24862463365787446	1.007719898726496	374991
161	0.24869513554386946	1.0080056554207126	407322
162	0.24884282153736598	1.0086042530424368	227493
163	0.2488608775727424	1.0086774373680332	167234
164	0.24886195307030945	1.0086817965511254	258557
165	0.24894547762848612	1.0090203364539043	217397
166	0.2489572081429165	1.0090678823170791	240700
167	0.2490663289786752	1.009510168489378	404318
168	0.24910312080520883	1.009659292311756	418674
169	0.2492813797508783	1.0103818075510316	169074
170	0.24929687572998782	1.0104446155128541	321067
171	0.2493252167920519	1.010559486882488	278608
172	0.2493975599282629	1.0108527064915973	593835
173	0.2494261558178236	1.0109686107224378	209116
174	0.2494679091173958	1.01113784427825	202503
175	0.24972456709545554	1.01217812475188	526444
176	0.24985682295202202	1.0127141812818559	640815
177	0.24993964268469337	1.0130498644013932	165680
178	0.2500116581244409	1.013341755798402	471774
179	0.25022760270889527	1.0142170176402205	295471
180	0.25031099985499394	1.0145550411191662	131029
181	0.250404013434325	1.0149320417138565	213483
182	0.2504213441197428	1.0150022860669488	234369
183	0.25054560840905044	1.0155059513522184	89808
184	0.250799559113167	1.0165352587626257	166029
185	0.2509032616503944	1.0169555836064477	282587
186	0.2510204626606037	1.0174306201641736	524272
187	0.2510746077639783	1.0176500799067036	298481
188	0.25121319326945407	1.0182117916304712	331563
189	0.25122617297030697	1.0182644006685884	218974
190	0.2513636233829283	1.018821511658955	70034
191	0.25169982266374186	1.0201841871920625	118983
192	0.2520704616186549	1.0216864528550176	326135
193	0.25217988533205926	1.0221299666443306	368368
194	0.25220136010187216	1.0222170077091786	221454
195	0.2523738312329404	1.0229160639055668	413256
196	0.2525186255275393	1.0235029409568979	317038
197	0.2525653304145574	1.0236922441780771	285051
198	0.2526157828074233	1.0238967367075635	145272
199	0.2530259767904461	1.0255593259407718	272474
200	0.2531709201952259	1.0261468073622095	266563
201	0.25339627752883337	1.027060220751941	225173
202	0.2538107555688996	1.0287401740309658	346388
203	0.2539740874548399	1.0294021872399428	321080
204	0.2544334462926198	1.0312640503814838	283583
205	0.2545738248488395	1.0318330296591032	128175
206	0.2550973712309961	1.0339550563442443	255671
207	0.2553250994395227	1.0348780793120707	353984
208	0.25541215355778446	1.0352309251501834	279556
209	0.25594854508501463	1.0374050154949155	242076
210	0.2576165232602538	1.0441656279615907	112617
