rank	nonnormalized_p0	normalized_p0	overlap_snps
184	0.2531337840917724	1.0168846141944123	26326
185	0.2531765807188778	1.0170565360569919	72641
186	0.25319341272648666	1.0171241533038358	76329
187	0.25332751472834386	1.0176628655223985	4583
188	0.2537332802685539	1.0192928997601844	115582
189	0.25390559662797313	1.0199851260281876	59786
190	0.2541740825493686	1.0210636829800952	11799
191	0.2542010823127314	1.0211721459576826	7022
192	0.2543911007025761	1.0219354845129858	20496
193	0.25445240532241553	1.022181756360568	24425
194	0.2545037667867671	1.0223880847376712	3053
195	0.25461254612546125	1.0228250711962634	74525
196	0.2546751592356688	1.0230765994884878	39250
197	0.2546923736388012	1.0231457528879468	54823
198	0.2547022731844699	1.0231855211698226	39768
199	0.25476829356733627	1.0234507370982333	13789
200	0.2550942791945234	1.0247602808634975	24979
201	0.25510767531750417	1.024814095534652	3622
202	0.25517030077107694	1.0250656734124275	39166
203	0.25539699963410173	1.0259763641236355	32796
204	0.2555830335731415	1.0267236964127895	26688
205	0.2560803831345666	1.0287216403802615	10649
206	0.25617977528089886	1.0291209167737294	4895
207	0.25655866624724755	1.0306429909430055	15895
208	0.25675675675675674	1.031438756676373	148
209	0.256797583081571	1.0316027634750178	993
210	0.25682352941176473	1.0317069946192858	8500
211	0.2573812580231066	1.03394749225102	4674
212	0.25847797062750333	1.0383531869614495	3745
213	0.25862068965517243	1.03892651534553	17458
214	0.25925925925925924	1.041491766000704	162
215	0.26004962779156326	1.044666820657778	2015
216	0.2627460279819777	1.0554987523858215	4217
217	0.2637766348273328	1.0596388881961607	1361
218	0.26489226869455007	1.0641205930729627	1578
219	0.26666666666666666	1.071248673600724	120
220	0.2692307692307692	1.0815491416161156	26
221	0.28169014084507044	1.1316007115500608	142
222	0.2846715328467153	1.143577507402233	137
223	0.296875	1.1926010624070562	64
224	0.2976190476190476	1.1955900375008082	84
225	0.3	1.2051547578008146	10
226	0.32	1.285498408320869	25
227	0.3333333333333333	1.3390608420009051	36
228	0.3333333333333333	1.3390608420009051	6
229	0.35294117647058826	1.417829126824488	17
230	0.3548387096774194	1.4254518640654799	31
