PairIndividuals	Rel	Zup	Zdown	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	1st_Type	Perc_Win_1stdeg_P0	OverlapNSNPs	NSNPsXNorm	KinshipCoefficient	KinshipCoefficient_95percCI[min,max]
ORT12,ORT18	Unrelated	NA	13.168297796352942	0.9837052533848545	0.24269974082998175	0.0014511942919400015	N/A	0.8475609756097561	219547	54166.631535873	0.016294746615145517	0.9721766337422793,0.9952338730274297
ORT12,ORT2	Unrelated	NA	14.950337075875236	1.003882272034542	0.2476778144756706	0.001611189909637018	N/A	0.8902439024390244	151689	37424.70710620067	-0.003882272034541945	0.9910826105809891,1.0166819334880948
ORT12,ORT21	Unrelated	NA	15.557326374829275	1.0059041506984383	0.24817665233998906	0.001580391740474148	N/A	0.8711656441717791	158911	39206.51880461639	-0.005904150698438304	0.9933491569506079,1.0184591444462687
ORT12,ORT23	Unrelated	NA	16.916242477342635	1.0016932406285282	0.24713773669009398	0.001392020390360638	N/A	0.9024390243902439	327538	80810.16893875466	-0.0016932406285281587	0.9906347120053737,1.0127517692516825
ORT12,ORT24	Unrelated	NA	17.06713716276231	0.9984744071252386	0.24634358615126623	0.0013331822262237754	N/A	0.9146341463414634	376872	92981.85245158226	0.0015255928747613945	0.9878833023464093,1.009065511904068
ORT12,ORT26	Unrelated	NA	20.817469198615864	1.013341755798402	0.2500116581244409	0.0012692069165088256	N/A	0.8658536585365854	471774	116396.0720310683	-0.01334175579840191	1.0032588855242945,1.0234246260725093
ORT12,ORT27	Unrelated	NA	14.618762758425087	0.9834783263318808	0.24264375339192087	0.001303377821600639	N/A	0.8780487804878049	429329	105924.04246318474	0.016521673668119186	0.9731239945657914,0.9938326580979703
ORT12,ORT3	Unrelated	NA	15.635619660870614	0.9873000632324359	0.2435866522451023	0.001278917653759339	N/A	0.9085365853658537	435459	107436.43594300866	0.01269993676756409	0.9771400486387624,0.9974600778261095
ORT12,ORT4	Unrelated	NA	17.149286141774805	1.0036634312146646	0.24762382207288075	0.001401448412536968	N/A	0.8841463414634146	295222	72837.16605229632	-0.003663431214664614	0.9925300042252084,1.014796858204121
ORT12,ORT5	Unrelated	NA	22.001701750309977	1.0339550563442443	0.2550973712309961	0.0014320432735255996	N/A	0.9146341463414634	255671	63079.14410767711	-0.03395505634424434	1.0225785767757405,1.0453315359127482
ORT12,ORT6	Unrelated	NA	16.233056594692663	0.9891719792201975	0.2440484913209047	0.0012602992522212535	N/A	0.8719512195121951	498151	122903.80495395826	0.010828020779802494	0.9791598734702105,0.9991840849701845
ORT12,ORT7	Unrelated	NA	14.161975935266499	0.9830792697593387	0.24254529816216663	0.0013384654807677922	N/A	0.8719512195121951	385998	95233.41899267085	0.01692073024066132	0.9724461935970419,0.9937123459216355
ORT12,ORT8	Unrelated	NA	15.674119696706375	0.9869216993354383	0.2434933023118527	0.0012698206000485476	N/A	0.8475609756097561	460756	113677.71128707156	0.013078300664561726	0.9768339538188154,0.9970094448520611
