iid	pc1	pc2
ORT16_nu_raw__c0.08__r08	-0.0167	0.0234
ORT16_nu_raw__c0.08__r09	-0.0161	0.0235
ORT16_nu_raw__c0.08__r10	-0.0165	0.0239
ORT16_nu_raw__c0.1__r01	-0.0165	0.0239
ORT16_nu_raw__c0.1__r02	-0.0161	0.0238
ORT16_nu_raw__c0.1__r03	-0.0152	0.024
ORT16_nu_raw__c0.1__r04	-0.0158	0.0237
ORT16_nu_raw__c0.1__r05	-0.0161	0.0239
ORT16_nu_raw__c0.1__r06	-0.0149	0.0232
ORT16_nu_raw__c0.1__r07	-0.0166	0.0231
ORT16_nu_raw__c0.1__r08	-0.0165	0.0236
ORT16_nu_raw__c0.1__r09	-0.0159	0.0237
ORT16_nu_raw__c0.1__r10	-0.0161	0.0243
ORT16_nu_raw__c0.2__r01	-0.0158	0.0245
ORT16_nu_raw__c0.2__r02	-0.0161	0.0242
ORT16_nu_raw__c0.2__r03	-0.0155	0.0243
ORT16_nu_raw__c0.2__r04	-0.0156	0.024
ORT16_nu_raw__c0.2__r05	-0.016	0.0238
ORT16_nu_raw__c0.2__r06	-0.0154	0.024
ORT16_nu_raw__c0.2__r07	-0.0158	0.0235
ORT16_nu_raw__c0.2__r08	-0.016	0.0245
ORT16_nu_raw__c0.2__r09	-0.0159	0.0241
ORT16_nu_raw__c0.2__r10	-0.0159	0.0244
ORT16_nu_raw__cfull__r01	-0.0156	0.0243
ORT16_nu_rescale5__c0.01__r01	-0.0176	0.0243
ORT16_nu_rescale5__c0.01__r02	-0.018	0.0225
ORT16_nu_rescale5__c0.01__r03	-0.0178	0.0243
ORT16_nu_rescale5__c0.01__r04	-0.0194	0.0254
ORT16_nu_rescale5__c0.01__r05	-0.0149	0.0196
ORT16_nu_rescale5__c0.01__r06	-0.0173	0.0231
ORT16_nu_rescale5__c0.01__r07	-0.02	0.0216
ORT16_nu_rescale5__c0.01__r08	-0.0178	0.0209
ORT16_nu_rescale5__c0.01__r09	-0.0192	0.0208
ORT16_nu_rescale5__c0.01__r10	-0.0162	0.0225
ORT16_nu_rescale5__c0.02__r01	-0.0184	0.023
ORT16_nu_rescale5__c0.02__r02	-0.0175	0.0235
ORT16_nu_rescale5__c0.02__r03	-0.0156	0.0239
ORT16_nu_rescale5__c0.02__r04	-0.0187	0.0241
ORT16_nu_rescale5__c0.02__r05	-0.017	0.021
ORT16_nu_rescale5__c0.02__r06	-0.0162	0.0224
ORT16_nu_rescale5__c0.02__r07	-0.0197	0.0223
ORT16_nu_rescale5__c0.02__r08	-0.0179	0.0211
ORT16_nu_rescale5__c0.02__r09	-0.0178	0.0225
ORT16_nu_rescale5__c0.02__r10	-0.0169	0.0245
ORT16_nu_rescale5__c0.04__r01	-0.017	0.0216
ORT16_nu_rescale5__c0.04__r02	-0.0171	0.0221
ORT16_nu_rescale5__c0.04__r03	-0.0165	0.0228
ORT16_nu_rescale5__c0.04__r04	-0.0182	0.0232
ORT16_nu_rescale5__c0.04__r05	-0.0173	0.0219
ORT16_nu_rescale5__c0.04__r06	-0.0165	0.0218
ORT16_nu_rescale5__c0.04__r07	-0.0188	0.0215
ORT16_nu_rescale5__c0.04__r08	-0.0177	0.0217
ORT16_nu_rescale5__c0.04__r09	-0.0177	0.0223
ORT16_nu_rescale5__c0.04__r10	-0.018	0.0228
ORT16_nu_rescale5__c0.06__r01	-0.0174	0.0218
ORT16_nu_rescale5__c0.06__r02	-0.0171	0.0226
ORT16_nu_rescale5__c0.06__r03	-0.017	0.0223
ORT16_nu_rescale5__c0.06__r04	-0.0178	0.0232
ORT16_nu_rescale5__c0.06__r05	-0.0173	0.0221
ORT16_nu_rescale5__c0.06__r06	-0.0165	0.0222
ORT16_nu_rescale5__c0.06__r07	-0.0184	0.0219
ORT16_nu_rescale5__c0.06__r08	-0.0177	0.022
ORT16_nu_rescale5__c0.06__r09	-0.0175	0.0219
ORT16_nu_rescale5__c0.06__r10	-0.0177	0.0226
ORT16_nu_rescale5__c0.08__r01	-0.0175	0.0225
ORT16_nu_rescale5__c0.08__r02	-0.0171	0.0227
ORT16_nu_rescale5__c0.08__r03	-0.0173	0.022
ORT16_nu_rescale5__c0.08__r04	-0.0175	0.023
ORT16_nu_rescale5__c0.08__r05	-0.0172	0.0228
ORT16_nu_rescale5__c0.08__r06	-0.0161	0.0221
ORT16_nu_rescale5__c0.08__r07	-0.018	0.0215
ORT16_nu_rescale5__c0.08__r08	-0.0176	0.0223
ORT16_nu_rescale5__c0.08__r09	-0.0173	0.0222
ORT16_nu_rescale5__c0.08__r10	-0.0175	0.0224
ORT16_nu_rescale5__c0.1__r01	-0.0177	0.0226
ORT16_nu_rescale5__c0.1__r02	-0.0172	0.0224
ORT16_nu_rescale5__c0.1__r03	-0.0168	0.0225
ORT16_nu_rescale5__c0.1__r04	-0.0171	0.0225
ORT16_nu_rescale5__c0.1__r05	-0.0173	0.0226
ORT16_nu_rescale5__c0.1__r06	-0.0162	0.0219
ORT16_nu_rescale5__c0.1__r07	-0.0178	0.0219
ORT16_nu_rescale5__c0.1__r08	-0.0176	0.0222
ORT16_nu_rescale5__c0.1__r09	-0.0173	0.0223
ORT16_nu_rescale5__c0.1__r10	-0.0175	0.0228
ORT16_nu_rescale5__c0.2__r01	-0.0171	0.023
ORT16_nu_rescale5__c0.2__r02	-0.0175	0.0228
ORT16_nu_rescale5__c0.2__r03	-0.017	0.0231
ORT16_nu_rescale5__c0.2__r04	-0.017	0.0228
ORT16_nu_rescale5__c0.2__r05	-0.0172	0.0226
ORT16_nu_rescale5__c0.2__r06	-0.0167	0.0227
ORT16_nu_rescale5__c0.2__r07	-0.017	0.0223
ORT16_nu_rescale5__c0.2__r08	-0.0171	0.0234
ORT16_nu_rescale5__c0.2__r09	-0.0172	0.0228
ORT16_nu_rescale5__c0.2__r10	-0.0171	0.0231
ORT16_nu_rescale5__cfull__r01	-0.0171	0.0227
ORT16_nu_rescale10__c0.01__r01	-0.0171	0.0238
ORT16_nu_rescale10__c0.01__r02	-0.0179	0.0228
ORT16_nu_rescale10__c0.01__r03	-0.0177	0.0233
ORT16_nu_rescale10__c0.01__r04	-0.0189	0.025
ORT16_nu_rescale10__c0.01__r05	-0.015	0.0187
ORT16_nu_rescale10__c0.01__r06	-0.0173	0.0218
ORT16_nu_rescale10__c0.01__r07	-0.0195	0.0211
ORT16_nu_rescale10__c0.01__r08	-0.0186	0.0203
ORT16_nu_rescale10__c0.01__r09	-0.0195	0.0204
ORT16_nu_rescale10__c0.01__r10	-0.0162	0.0221
ORT16_nu_rescale10__c0.02__r01	-0.0178	0.0226
ORT16_nu_rescale10__c0.02__r02	-0.0174	0.0229
ORT16_nu_rescale10__c0.02__r03	-0.0153	0.0228
ORT16_nu_rescale10__c0.02__r04	-0.0185	0.0236
ORT16_nu_rescale10__c0.02__r05	-0.0168	0.0202
ORT16_nu_rescale10__c0.02__r06	-0.0164	0.0213
ORT16_nu_rescale10__c0.02__r07	-0.0196	0.0217
ORT16_nu_rescale10__c0.02__r08	-0.0184	0.0204
ORT16_nu_rescale10__c0.02__r09	-0.0183	0.0216
ORT16_nu_rescale10__c0.02__r10	-0.0169	0.0237
ORT16_nu_rescale10__c0.04__r01	-0.0167	0.021
ORT16_nu_rescale10__c0.04__r02	-0.0167	0.0216
ORT16_nu_rescale10__c0.04__r03	-0.0167	0.0217
ORT16_nu_rescale10__c0.04__r04	-0.018	0.0227
ORT16_nu_rescale10__c0.04__r05	-0.0173	0.0209
ORT16_nu_rescale10__c0.04__r06	-0.0168	0.0209
ORT16_nu_rescale10__c0.04__r07	-0.0188	0.0209
ORT16_nu_rescale10__c0.04__r08	-0.0179	0.0209
ORT16_nu_rescale10__c0.04__r09	-0.0179	0.0215
ORT16_nu_rescale10__c0.04__r10	-0.0179	0.0222
ORT16_nu_rescale10__c0.06__r01	-0.0172	0.0211
ORT16_nu_rescale10__c0.06__r02	-0.0169	0.022
ORT16_nu_rescale10__c0.06__r03	-0.0173	0.0212
ORT16_nu_rescale10__c0.06__r04	-0.0176	0.0225
ORT16_nu_rescale10__c0.06__r05	-0.0172	0.0211
ORT16_nu_rescale10__c0.06__r06	-0.0168	0.0215
ORT16_nu_rescale10__c0.06__r07	-0.0184	0.0213
ORT16_nu_rescale10__c0.06__r08	-0.0178	0.0213
ORT16_nu_rescale10__c0.06__r09	-0.0176	0.0212
ORT16_nu_rescale10__c0.06__r10	-0.018	0.0217
ORT16_nu_rescale10__c0.08__r01	-0.0174	0.0218
ORT16_nu_rescale10__c0.08__r02	-0.017	0.0219
ORT16_nu_rescale10__c0.08__r03	-0.0175	0.0211
ORT16_nu_rescale10__c0.08__r04	-0.0176	0.0223
ORT16_nu_rescale10__c0.08__r05	-0.0175	0.0219
ORT16_nu_rescale10__c0.08__r06	-0.0165	0.0213
ORT16_nu_rescale10__c0.08__r07	-0.018	0.021
ORT16_nu_rescale10__c0.08__r08	-0.0178	0.0215
ORT16_nu_rescale10__c0.08__r09	-0.0173	0.0215
ORT16_nu_rescale10__c0.08__r10	-0.0178	0.0218
ORT16_nu_rescale10__c0.1__r01	-0.0178	0.0218
ORT16_nu_rescale10__c0.1__r02	-0.0171	0.0218
ORT16_nu_rescale10__c0.1__r03	-0.0173	0.0214
ORT16_nu_rescale10__c0.1__r04	-0.0172	0.0218
ORT16_nu_rescale10__c0.1__r05	-0.0173	0.0216
ORT16_nu_rescale10__c0.1__r06	-0.0165	0.0213
ORT16_nu_rescale10__c0.1__r07	-0.0178	0.0213
ORT16_nu_rescale10__c0.1__r08	-0.0175	0.0212
ORT16_nu_rescale10__c0.1__r09	-0.0172	0.0218
ORT16_nu_rescale10__c0.1__r10	-0.0176	0.0222
ORT16_nu_rescale10__c0.2__r01	-0.0171	0.0222
ORT16_nu_rescale10__c0.2__r02	-0.0175	0.0221
ORT16_nu_rescale10__c0.2__r03	-0.0173	0.0222
ORT16_nu_rescale10__c0.2__r04	-0.017	0.0223
ORT16_nu_rescale10__c0.2__r05	-0.0173	0.0216
ORT16_nu_rescale10__c0.2__r06	-0.0168	0.0221
ORT16_nu_rescale10__c0.2__r07	-0.0172	0.0216
ORT16_nu_rescale10__c0.2__r08	-0.0173	0.0225
ORT16_nu_rescale10__c0.2__r09	-0.0173	0.0221
ORT16_nu_rescale10__c0.2__r10	-0.0172	0.0223
ORT16_nu_rescale10__cfull__r01	-0.0173	0.0221
ORT16_nu_rescaled__c0.01__r01	-0.017	0.0226
ORT16_nu_rescaled__c0.01__r02	-0.0181	0.0217
ORT16_nu_rescaled__c0.01__r03	-0.0176	0.0232
ORT16_nu_rescaled__c0.01__r04	-0.0191	0.0244
ORT16_nu_rescaled__c0.01__r05	-0.0146	0.0182
ORT16_nu_rescaled__c0.01__r06	-0.0174	0.0216
ORT16_nu_rescaled__c0.01__r07	-0.0194	0.0206
ORT16_nu_rescaled__c0.01__r08	-0.0184	0.0201
ORT16_nu_rescaled__c0.01__r09	-0.0198	0.02
ORT16_nu_rescaled__c0.01__r10	-0.016	0.0218
ORT16_nu_rescaled__c0.02__r01	-0.0177	0.0218
ORT16_nu_rescaled__c0.02__r02	-0.0174	0.0223
ORT16_nu_rescaled__c0.02__r03	-0.0155	0.0227
ORT16_nu_rescaled__c0.02__r04	-0.0183	0.023
ORT16_nu_rescaled__c0.02__r05	-0.0166	0.0195
ORT16_nu_rescaled__c0.02__r06	-0.0162	0.0208
ORT16_nu_rescaled__c0.02__r07	-0.0196	0.0213
ORT16_nu_rescaled__c0.02__r08	-0.0182	0.02
ORT16_nu_rescaled__c0.02__r09	-0.0182	0.021
ORT16_nu_rescaled__c0.02__r10	-0.0168	0.0233
ORT16_nu_rescaled__c0.04__r01	-0.0167	0.0205
ORT16_nu_rescaled__c0.04__r02	-0.0168	0.021
ORT16_nu_rescaled__c0.04__r03	-0.0168	0.0214
ORT16_nu_rescaled__c0.04__r04	-0.0178	0.022
ORT16_nu_rescaled__c0.04__r05	-0.0173	0.0206
ORT16_nu_rescaled__c0.04__r06	-0.017	0.0206
ORT16_nu_rescaled__c0.04__r07	-0.0188	0.0204
ORT16_nu_rescaled__c0.04__r08	-0.0178	0.0206
ORT16_nu_rescaled__c0.04__r09	-0.0178	0.0208
ORT16_nu_rescaled__c0.04__r10	-0.0179	0.0218
ORT16_nu_rescaled__c0.06__r01	-0.0173	0.0206
ORT16_nu_rescaled__c0.06__r02	-0.0169	0.0215
ORT16_nu_rescaled__c0.06__r03	-0.0171	0.0209
ORT16_nu_rescaled__c0.06__r04	-0.0177	0.0221
ORT16_nu_rescaled__c0.06__r05	-0.0173	0.0207
ORT16_nu_rescaled__c0.06__r06	-0.017	0.0209
ORT16_nu_rescaled__c0.06__r07	-0.0186	0.0206
ORT16_nu_rescaled__c0.06__r08	-0.0178	0.0209
ORT16_nu_rescaled__c0.06__r09	-0.0173	0.021
ORT16_nu_rescaled__c0.06__r10	-0.0178	0.0214
ORT16_nu_rescaled__c0.08__r01	-0.0175	0.0213
ORT16_nu_rescaled__c0.08__r02	-0.0169	0.0216
ORT16_nu_rescaled__c0.08__r03	-0.0172	0.0207
ORT16_nu_rescaled__c0.08__r04	-0.0174	0.0219
ORT16_nu_rescaled__c0.08__r05	-0.0173	0.0214
ORT16_nu_rescaled__c0.08__r06	-0.0166	0.0209
ORT16_nu_rescaled__c0.08__r07	-0.018	0.0202
ORT16_nu_rescaled__c0.08__r08	-0.0176	0.021
ORT16_nu_rescaled__c0.08__r09	-0.0171	0.0212
ORT16_nu_rescaled__c0.08__r10	-0.0178	0.0211
ORT16_nu_rescaled__c0.1__r01	-0.0178	0.0213
ORT16_nu_rescaled__c0.1__r02	-0.0171	0.0214
ORT16_nu_rescaled__c0.1__r03	-0.0171	0.0211
ORT16_nu_rescaled__c0.1__r04	-0.0171	0.0214
ORT16_nu_rescaled__c0.1__r05	-0.0172	0.0213
ORT16_nu_rescaled__c0.1__r06	-0.0166	0.0207
ORT16_nu_rescaled__c0.1__r07	-0.0178	0.0207
ORT16_nu_rescaled__c0.1__r08	-0.0174	0.021
ORT16_nu_rescaled__c0.1__r09	-0.0171	0.0213
ORT16_nu_rescaled__c0.1__r10	-0.0176	0.0214
ORT16_nu_rescaled__c0.2__r01	-0.0171	0.0217
ORT16_nu_rescaled__c0.2__r02	-0.0175	0.0216
ORT16_nu_rescaled__c0.2__r03	-0.0173	0.0218
ORT16_nu_rescaled__c0.2__r04	-0.0169	0.0217
ORT16_nu_rescaled__c0.2__r05	-0.0173	0.0212
ORT16_nu_rescaled__c0.2__r06	-0.0169	0.0216
ORT16_nu_rescaled__c0.2__r07	-0.0171	0.021
ORT16_nu_rescaled__c0.2__r08	-0.0172	0.0221
ORT16_nu_rescaled__c0.2__r09	-0.0173	0.0217
ORT16_nu_rescaled__c0.2__r10	-0.0172	0.0219
ORT16_nu_rescaled__cfull__r01	-0.0171	0.0216
ORT16_nu_trim5__c0.01__r01	-0.0172	0.0244
ORT16_nu_trim5__c0.01__r02	-0.0174	0.0234
ORT16_nu_trim5__c0.01__r03	-0.0172	0.0245
ORT16_nu_trim5__c0.01__r04	-0.0196	0.0275
ORT16_nu_trim5__c0.01__r05	-0.0156	0.0215
ORT16_nu_trim5__c0.01__r06	-0.018	0.023
ORT16_nu_trim5__c0.01__r07	-0.0202	0.0212
ORT16_nu_trim5__c0.01__r08	-0.0184	0.0232
ORT16_nu_trim5__c0.01__r09	-0.0182	0.0233
ORT16_nu_trim5__c0.01__r10	-0.0168	0.0236
ORT16_nu_trim5__c0.02__r01	-0.0173	0.0229
ORT16_nu_trim5__c0.02__r02	-0.0181	0.0239
ORT16_nu_trim5__c0.02__r03	-0.0159	0.0242
ORT16_nu_trim5__c0.02__r04	-0.0186	0.0248
ORT16_nu_trim5__c0.02__r05	-0.0174	0.0217
ORT16_nu_trim5__c0.02__r06	-0.0168	0.024
ORT16_nu_trim5__c0.02__r07	-0.0196	0.0226
ORT16_nu_trim5__c0.02__r08	-0.0181	0.0224
ORT16_nu_trim5__c0.02__r09	-0.0176	0.0242
ORT16_nu_trim5__c0.02__r10	-0.0168	0.024
ORT16_nu_trim5__c0.04__r01	-0.0178	0.0223
ORT16_nu_trim5__c0.04__r02	-0.0174	0.0237
ORT16_nu_trim5__c0.04__r03	-0.0172	0.0235
ORT16_nu_trim5__c0.04__r04	-0.0175	0.0241
ORT16_nu_trim5__c0.04__r05	-0.0168	0.0232
ORT16_nu_trim5__c0.04__r06	-0.0165	0.0227
ORT16_nu_trim5__c0.04__r07	-0.0186	0.0225
ORT16_nu_trim5__c0.04__r08	-0.0175	0.0232
ORT16_nu_trim5__c0.04__r09	-0.0176	0.023
ORT16_nu_trim5__c0.04__r10	-0.0179	0.0231
ORT16_nu_trim5__c0.06__r01	-0.0178	0.0234
ORT16_nu_trim5__c0.06__r02	-0.0174	0.0236
ORT16_nu_trim5__c0.06__r03	-0.0172	0.0235
ORT16_nu_trim5__c0.06__r04	-0.0175	0.024
ORT16_nu_trim5__c0.06__r05	-0.0172	0.0236
ORT16_nu_trim5__c0.06__r06	-0.0162	0.0231
ORT16_nu_trim5__c0.06__r07	-0.0184	0.0228
ORT16_nu_trim5__c0.06__r08	-0.0179	0.023
ORT16_nu_trim5__c0.06__r09	-0.0177	0.0233
ORT16_nu_trim5__c0.06__r10	-0.0177	0.023
ORT16_nu_trim5__c0.08__r01	-0.0182	0.0233
ORT16_nu_trim5__c0.08__r02	-0.0172	0.0229
ORT16_nu_trim5__c0.08__r03	-0.0171	0.0237
ORT16_nu_trim5__c0.08__r04	-0.0172	0.0233
ORT16_nu_trim5__c0.08__r05	-0.0173	0.0237
ORT16_nu_trim5__c0.08__r06	-0.016	0.0231
ORT16_nu_trim5__c0.08__r07	-0.0178	0.023
ORT16_nu_trim5__c0.08__r08	-0.0177	0.0232
ORT16_nu_trim5__c0.08__r09	-0.0174	0.0234
ORT16_nu_trim5__c0.08__r10	-0.0175	0.023
ORT16_nu_trim5__c0.1__r01	-0.0173	0.0234
ORT16_nu_trim5__c0.1__r02	-0.0172	0.0234
ORT16_nu_trim5__c0.1__r03	-0.017	0.0237
ORT16_nu_trim5__c0.1__r04	-0.0171	0.0236
ORT16_nu_trim5__c0.1__r05	-0.0172	0.0237
ORT16_nu_trim5__c0.1__r06	-0.0162	0.023
ORT16_nu_trim5__c0.1__r07	-0.0178	0.0233
ORT16_nu_trim5__c0.1__r08	-0.0177	0.0232
ORT16_nu_trim5__c0.1__r09	-0.0175	0.0235
ORT16_nu_trim5__c0.1__r10	-0.0175	0.0232
ORT16_nu_trim5__c0.2__r01	-0.0173	0.0241
ORT16_nu_trim5__c0.2__r02	-0.0173	0.0239
ORT16_nu_trim5__c0.2__r03	-0.0171	0.0242
ORT16_nu_trim5__c0.2__r04	-0.0169	0.0236
ORT16_nu_trim5__c0.2__r05	-0.0174	0.0234
ORT16_nu_trim5__c0.2__r06	-0.0168	0.0234
ORT16_nu_trim5__c0.2__r07	-0.0174	0.0235
ORT16_nu_trim5__c0.2__r08	-0.0172	0.0241
ORT16_nu_trim5__c0.2__r09	-0.0171	0.0238
ORT16_nu_trim5__c0.2__r10	-0.0172	0.0238
ORT16_nu_trim5__cfull__r01	-0.0172	0.0237
ORT16_nu_trim10__c0.01__r01	-0.0166	0.0235
ORT16_nu_trim10__c0.01__r02	-0.0178	0.0254
ORT16_nu_trim10__c0.01__r03	-0.0166	0.0252
ORT16_nu_trim10__c0.01__r04	-0.0199	0.0267
ORT16_nu_trim10__c0.01__r05	-0.017	0.0219
ORT16_nu_trim10__c0.01__r06	-0.0175	0.0225
ORT16_nu_trim10__c0.01__r07	-0.0196	0.0225
ORT16_nu_trim10__c0.01__r08	-0.0183	0.0228
ORT16_nu_trim10__c0.01__r09	-0.0194	0.0231
ORT16_nu_trim10__c0.01__r10	-0.0169	0.0249
ORT16_nu_trim10__c0.02__r01	-0.0171	0.0227
ORT16_nu_trim10__c0.02__r02	-0.0178	0.0245
ORT16_nu_trim10__c0.02__r03	-0.0163	0.0241
ORT16_nu_trim10__c0.02__r04	-0.0178	0.0242
ORT16_nu_trim10__c0.02__r05	-0.0175	0.0216
ORT16_nu_trim10__c0.02__r06	-0.0177	0.024
ORT16_nu_trim10__c0.02__r07	-0.0197	0.0232
ORT16_nu_trim10__c0.02__r08	-0.0185	0.0237
ORT16_nu_trim10__c0.02__r09	-0.0185	0.0243
ORT16_nu_trim10__c0.02__r10	-0.0174	0.0246
ORT16_nu_trim10__c0.04__r01	-0.0178	0.0227
ORT16_nu_trim10__c0.04__r02	-0.0172	0.0248
ORT16_nu_trim10__c0.04__r03	-0.0177	0.0234
ORT16_nu_trim10__c0.04__r04	-0.0182	0.0241
ORT16_nu_trim10__c0.04__r05	-0.0175	0.0229
ORT16_nu_trim10__c0.04__r06	-0.0169	0.0231
ORT16_nu_trim10__c0.04__r07	-0.0189	0.023
ORT16_nu_trim10__c0.04__r08	-0.018	0.024
ORT16_nu_trim10__c0.04__r09	-0.0178	0.0229
ORT16_nu_trim10__c0.04__r10	-0.0185	0.0233
ORT16_nu_trim10__c0.06__r01	-0.0183	0.0234
ORT16_nu_trim10__c0.06__r02	-0.0175	0.024
ORT16_nu_trim10__c0.06__r03	-0.0181	0.0238
ORT16_nu_trim10__c0.06__r04	-0.0179	0.0238
ORT16_nu_trim10__c0.06__r05	-0.0179	0.0236
ORT16_nu_trim10__c0.06__r06	-0.0166	0.0235
ORT16_nu_trim10__c0.06__r07	-0.0185	0.0235
ORT16_nu_trim10__c0.06__r08	-0.0177	0.0237
ORT16_nu_trim10__c0.06__r09	-0.0176	0.0235
ORT16_nu_trim10__c0.06__r10	-0.018	0.0235
ORT16_nu_trim10__c0.08__r01	-0.018	0.0236
ORT16_nu_trim10__c0.08__r02	-0.0177	0.0239
ORT16_nu_trim10__c0.08__r03	-0.0177	0.024
ORT16_nu_trim10__c0.08__r04	-0.0179	0.024
ORT16_nu_trim10__c0.08__r05	-0.0176	0.0236
ORT16_nu_trim10__c0.08__r06	-0.017	0.0236
ORT16_nu_trim10__c0.08__r07	-0.0184	0.0238
ORT16_nu_trim10__c0.08__r08	-0.018	0.0236
ORT16_nu_trim10__c0.08__r09	-0.0176	0.0239
ORT16_nu_trim10__c0.08__r10	-0.0181	0.0235
ORT16_nu_trim10__c0.1__r01	-0.0178	0.0237
ORT16_nu_trim10__c0.1__r02	-0.0179	0.024
ORT16_nu_trim10__c0.1__r03	-0.0181	0.0242
ORT16_nu_trim10__c0.1__r04	-0.0178	0.0241
ORT16_nu_trim10__c0.1__r05	-0.0179	0.0237
ORT16_nu_trim10__c0.1__r06	-0.0173	0.0236
ORT16_nu_trim10__c0.1__r07	-0.0178	0.0237
ORT16_nu_trim10__c0.1__r08	-0.0181	0.024
ORT16_nu_trim10__c0.1__r09	-0.0174	0.0242
ORT16_nu_trim10__c0.1__r10	-0.0181	0.0239
ORT16_nu_trim10__c0.2__r01	-0.0179	0.0241
ORT16_nu_trim10__c0.2__r02	-0.0177	0.0241
ORT16_nu_trim10__c0.2__r03	-0.0177	0.0244
ORT16_nu_trim10__c0.2__r04	-0.0176	0.024
ORT16_nu_trim10__c0.2__r05	-0.0179	0.0242
ORT16_nu_trim10__c0.2__r06	-0.0178	0.0243
ORT16_nu_trim10__c0.2__r07	-0.0178	0.0242
ORT16_nu_trim10__c0.2__r08	-0.0179	0.024
ORT16_nu_trim10__c0.2__r09	-0.0179	0.0242
ORT16_nu_trim10__c0.2__r10	-0.0177	0.0241
ORT16_nu_trim10__cfull__r01	-0.0178	0.0242
