iid	pc1	pc2
ORT15_fu_rescale5__c0.01__r02	-0.0202	0.0297
ORT15_fu_rescale5__c0.01__r03	-0.0199	0.031
ORT15_fu_rescale5__c0.01__r04	-0.0204	0.0275
ORT15_fu_rescale5__c0.01__r05	-0.021	0.0277
ORT15_fu_rescale5__c0.01__r06	-0.0196	0.0246
ORT15_fu_rescale5__c0.01__r07	-0.019	0.0225
ORT15_fu_rescale5__c0.01__r08	-0.0208	0.025
ORT15_fu_rescale5__c0.01__r09	-0.02	0.024
ORT15_fu_rescale5__c0.01__r10	-0.0224	0.0319
ORT15_fu_rescale5__c0.02__r01	-0.0195	0.0254
ORT15_fu_rescale5__c0.02__r02	-0.02	0.0285
ORT15_fu_rescale5__c0.02__r03	-0.02	0.0273
ORT15_fu_rescale5__c0.02__r04	-0.0196	0.0266
ORT15_fu_rescale5__c0.02__r05	-0.0212	0.0277
ORT15_fu_rescale5__c0.02__r06	-0.0201	0.0259
ORT15_fu_rescale5__c0.02__r07	-0.0203	0.0253
ORT15_fu_rescale5__c0.02__r08	-0.0211	0.0255
ORT15_fu_rescale5__c0.02__r09	-0.0202	0.0264
ORT15_fu_rescale5__c0.02__r10	-0.0218	0.0302
ORT15_fu_rescale5__c0.04__r01	-0.02	0.0261
ORT15_fu_rescale5__c0.04__r02	-0.0204	0.0268
ORT15_fu_rescale5__c0.04__r03	-0.02	0.0254
ORT15_fu_rescale5__c0.04__r04	-0.0197	0.026
ORT15_fu_rescale5__c0.04__r05	-0.0211	0.0275
ORT15_fu_rescale5__c0.04__r06	-0.0209	0.0257
ORT15_fu_rescale5__c0.04__r07	-0.0201	0.0261
ORT15_fu_rescale5__c0.04__r08	-0.0212	0.0262
ORT15_fu_rescale5__c0.04__r09	-0.0201	0.0251
ORT15_fu_rescale5__c0.04__r10	-0.0208	0.0286
ORT15_fu_rescale5__c0.06__r01	-0.0201	0.0264
ORT15_fu_rescale5__c0.06__r02	-0.0204	0.0266
ORT15_fu_rescale5__c0.06__r03	-0.0201	0.0256
ORT15_fu_rescale5__c0.06__r04	-0.0199	0.0261
ORT15_fu_rescale5__c0.06__r05	-0.0205	0.0276
